"","cluster"
"aceler",3
"algebr relacional",1
"bas dat movil",1
"bas dat relacional",1
"bas dat semant",1
"calcul relacional",1
"camp electr",3
"carg electr",3
"cas uso",1
"cinemat",3
"clas",2
"corrient electr",3
"diagram clas",1
"do whil",1
"electr diferent",3
"energ cinet",3
"energ potencial",3
"entorn bas dat",1
"expresion regular",1
"herenci",1
"model entid relacion",1
"model relacional",1
"normaliz",1
"oracl",1
"program orient objet",2
"rapidez",3
"replic bas dat",1
"segur",1
"sgbd",2
"subproces",1
"uml",1
"veloc",3
