"","cluster"
"algoritm orient dat",2
"analisis lexic",4
"analisis sintact",4
"api jav",1
"automat finit",4
"calendariz proyect",1
"cas uso",1
"cierr proyect",1
"clas",3
"codig etic",1
"control proyect",1
"cost",1
"diagram clas",1
"diagram fluj",2
"do whil",1
"expresion regular",3
"for",3
"gestion calid",1
"gestion proyect",3
"gestion riesg",1
"herenci",1
"ingeni requer",1
"ingeni softwar",1
"logic program",2
"mejor proces",1
"pmi",1
"program ficher jav",1
"program orient objet",3
"proposicion",1
"prueb desarroll",1
"recurs human",1
"regl procedent",1
"silog",1
"teor automat",1
"uml",1
